LGORT,MATNR,MEINS,MENGE
SC01,9601047,ZT,138
SC01,9660024,ZT,24
SC01,9634982,ZT,2
SC01,9001330,ZT,7
SC01,3601044,ZT,2
SC01,9680240,ZT,3
SC01,9601037,ZT,7
SC01,3601125,ZT,7
SC01,9613129,ZT,16
SC01,9002290,ZT,1
SC01,3615715,ZT,14
SC01,9680103,ZT,9
SC01,3619009,ZT,110
SC01,9602929,ZT,7
SC01,3605419,ZT,17
SC01,3605427,ZT,28
SC01,3601035,ZT,143
SC01,9619266,ZT,267
SC01,9660100,ZT,110
SC01,3613121,ZT,34
SC01,9680600,ZT,180
SC01,3606838,ZT,1
SC01,3631215,ZT,16
SC01,3606820,ZT,16
SC01,9601042,ZT,117
SC01,9680115,ST,1
SC01,3634951,ZT,14
SC01,9613744,ZT,234
SC01,9680252,ST,1
SC01,9613239,ZT,16
SC01,9681809,ZT,1
SC01,9606852,ZT,9
SC01,3615237,ZT,49
SC01,9680102,ZT,48
SC01,9619259,ZT,7
SC01,9601000,ZT,220
SC01,9660023,ZT,8
SC01,9660005,ZT,7
SC01,3609917,ZT,221
SC01,3681800,ZT,129
SC01,3660018,ZT,3
SC01,9613120,ZT,12
SC01,9639900,ZT,95
SC01,9613226,ZT,19
SC01,9680106,ZT,15
SC01,9606834,ZT,7
SC01,3619052,ZT,99
SC01,3601000,ZT,323
SC01,9613258,ZT,31
SC01,3680103,ZT,7
SC01,9602928,ZT,28
SC01,9680235,ZT,1
SC01,9609941,ZT,440
SC01,3606619,ZT,8
SC01,3606633,ZT,54
SC01,9606841,ZT,1
SC01,3605421,ZT,7
SC01,3635252,ZT,24
SC01,3613235,ZT,7
SC01,9619264,ZT,884
SC01,9635502,ZT,117
SC01,9601039,ZT,30
SC01,9606818,ZT,32
SC01,9680228,ZT,3
SC01,9680245,ZT,1
SC01,9630000,ZT,110
SC01,3602138,ZT,5
SC01,3602131,ZT,7
SC01,9681302,ZT,111
SC01,9002330,ZT,1
SC01,9660002,ZT,7
SC01,9601022,ZT,1
SC01,3601021,ZT,28
SC01,9663006,ZT,2
SC01,9602199,ZT,14
SC01,3636200,ZT,145
SC01,9606832,ZT,7
SC01,9681803,ZT,1
SC01,3631000,ZT,261
SC01,3615434,ZT,50
SC01,9630051,ZT,10
SC01,9662007,ZT,4
SC01,9680241,ZT,8
SC01,3619209,ZT,2
SC01,9660924,ST,3
SC01,3606648,ZT,264
SC01,9630056,ZT,1
SC01,3615224,ZT,349
SC01,9613708,ZT,14
SC01,9606835,ZT,7
SC01,9662318,ZT,1
SC01,3601124,ZT,40
SC01,9619252,ZT,172
SC01,3606657,ZT,7
SC01,3606854,ZT,80
SC01,9001390,ZT,1
