McID,StatusID,TimeStamp
Machine_2,7,2018-03-14T20:28:59.040Z
Machine_2,1,2018-03-14T20:29:07.087Z
Machine_0,1,2018-03-14T20:29:09.157Z
Machine_5,0,2018-03-14T20:29:43.020Z
Machine_5,1,2018-03-14T20:29:46.920Z
Machine_2,7,2018-03-14T20:30:56.100Z
Machine_5,0,2018-03-14T20:30:57.180Z
Machine_1,7,2018-03-14T20:31:12.410Z
Machine_5,1,2018-03-14T20:31:37.897Z
Machine_2,9,2018-03-14T20:31:38.150Z
Machine_2,0,2018-03-14T20:31:38.157Z
Machine_2,9,2018-03-14T20:31:39.560Z
Machine_1,7,2018-03-14T20:31:53.280Z
Machine_0,7,2018-03-14T20:32:34.060Z
Machine_0,0,2018-03-14T20:32:46.403Z
Machine_2,0,2018-03-14T20:33:02.020Z
Machine_0,10,2018-03-14T20:33:26.647Z
Machine_2,7,2018-03-14T20:33:40.460Z
Machine_2,9,2018-03-14T20:33:41.827Z
Machine_2,0,2018-03-14T20:33:41.833Z
Machine_1,9,2018-03-14T20:33:53.517Z
Machine_0,7,2018-03-14T20:34:00.283Z
Machine_2,0,2018-03-14T20:34:10.910Z
Machine_2,7,2018-03-14T20:34:50.190Z
Machine_2,1,2018-03-14T20:35:46.073Z
Machine_0,10,2018-03-14T20:35:56.770Z
Machine_5,1,2018-03-14T20:36:27.487Z
Machine_1,1,2018-03-14T20:36:35.740Z
Machine_0,10,2018-03-14T20:36:38.927Z
Machine_2,0,2018-03-14T20:36:55.160Z
Machine_2,7,2018-03-14T20:37:01.523Z
Machine_5,1,2018-03-14T20:37:04.300Z
Machine_3,1,2018-03-14T20:37:12.167Z
Machine_1,0,2018-03-14T20:37:15.897Z
Machine_1,7,2018-03-14T20:37:45.667Z
Machine_0,10,2018-03-14T20:37:50.513Z
Machine_1,0,2018-03-14T20:38:40.543Z
Machine_2,9,2018-03-14T20:38:58.633Z
Machine_0,9,2018-03-14T20:39:12.920Z
Machine_3,5,2018-03-14T20:39:19.440Z
